region_id,name,url
R1,London,https://www.hitched.co.uk/wedding-venues/london.htm
R2,Kent,https://www.hitched.co.uk/wedding-venues/kent.htm
R3,Essex,https://www.hitched.co.uk/wedding-venues/essex.htm
R4,Scotland,https://www.hitched.co.uk/wedding-venues/scotland.htm
R5,West Midlands,https://www.hitched.co.uk/wedding-venues/west-midlands.htm
R6,Cheshire,https://www.hitched.co.uk/wedding-venues/cheshire.htm
R7,Northern Ireland,https://www.hitched.co.uk/wedding-venues/northern-ireland.htm
R8,Surrey,https://www.hitched.co.uk/wedding-venues/surrey.htm
R9,North East - England,https://www.hitched.co.uk/wedding-venues/north-east-england.htm
R10,Hampshire,https://www.hitched.co.uk/wedding-venues/hampshire.htm
R11,North West - England,https://www.hitched.co.uk/wedding-venues/north-west-england.htm
R12,Hertfordshire,https://www.hitched.co.uk/wedding-venues/hertfordshire.htm
R13,West Sussex,https://www.hitched.co.uk/wedding-venues/west-sussex.htm
R14,North Yorkshire,https://www.hitched.co.uk/wedding-venues/north-yorkshire.htm
R15,Devon,https://www.hitched.co.uk/wedding-venues/devon.htm
R16,Oxfordshire,https://www.hitched.co.uk/wedding-venues/oxfordshire.htm
R17,Cornwall,https://www.hitched.co.uk/wedding-venues/cornwall.htm
R18,West Yorkshire,https://www.hitched.co.uk/wedding-venues/west-yorkshire.htm
R19,Nottinghamshire,https://www.hitched.co.uk/wedding-venues/nottinghamshire.htm
