name,location,rating,no_of_reviews,price_text,price_type,price_numeric,capacity,min_capacity,max_capacity,url
Brinsop Court Manor House and Barn,West London,5.0,116.0,From £55,meal,55.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/brinsop-court-manor-house-and-barn_6218.htm
The Manor at Bickley,South East London,5.0,4.0,From £120,meal,120.0,"40 to 490
Guests",40.0,490.0,https://www.hitched.co.uk/wedding-venues/the-manor-at-bickley_3287.htm
Davenport House,South West London,5.0,22.0,"From £4,500",venue,4500.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/davenport-house_2127.htm
Joe Allen Restaurant,"Central London, South West London",N/A,N/A,From £50,meal,50.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/joe-allen-restaurant_368617.htm
Maroto,"London - West, West London",N/A,N/A,From £120,meal,120.0,"30 to 200
Guests",30.0,200.0,https://www.hitched.co.uk/wedding-venues/maroto_370695.htm
"Pembroke Lodge, Richmond Park",West London,5.0,1131.0,From £109,meal,109.0,"20 to 146
Guests",20.0,146.0,https://www.hitched.co.uk/wedding-venues/pembroke-lodge-richmond-park_2060.htm
The Hackney,"Hackney, East London",4.9,61.0,From £60,meal,60.0,"2 to 100
Guests",2.0,100.0,https://www.hitched.co.uk/wedding-venues/the-hackney_294656.htm
PYRÁ,"London - North West, North West London",4.8,1.0,From £50,meal,50.0,"20 to 60
Guests",20.0,60.0,https://www.hitched.co.uk/wedding-venues/pyra_348729.htm
Sandon Manor,South West London,4.9,40.0,"From £2,250",venue,2250.0,"18 to 150
Guests",18.0,150.0,https://www.hitched.co.uk/wedding-venues/sandon-manor_302040.htm
Merchant Taylor's Hall,"City of London, East Central London",5.0,6.0,"From £2,500",venue,2500.0,"350
Guests",350.0,N/A,https://www.hitched.co.uk/wedding-venues/merchant-taylors-hall_3776.htm
Clearwell Castle,West Central London,5.0,85.0,From £100,meal,100.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/clearwell-castle_932.htm
Inner Temple,East London,4.8,1.0,From £160,meal,160.0,"100 to 240
Guests",100.0,240.0,https://www.hitched.co.uk/wedding-venues/the-inner-temple_4309.htm
Garden Museum,South East London,5.0,2.0,N/A,N/A,N/A,"250
Guests",250.0,N/A,https://www.hitched.co.uk/wedding-venues/garden-museum_189783.htm
Gosfield Hall,East London,4.9,202.0,From £100,meal,100.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/gosfield-hall_2889.htm
Dodford Manor - Barn Wedding Venue,North West London,5.0,250.0,From £49.75,meal,49.75,"30 to 200
Guests",30.0,200.0,https://www.hitched.co.uk/wedding-venues/dodford-manor-barn-wedding-venue_5617.htm
Kingston Estate Totnes,South West London,5.0,39.0,N/A,N/A,N/A,"60 to 400
Guests",60.0,400.0,https://www.hitched.co.uk/wedding-venues/kingston-estate-totnes_697.htm
Holmewood Hall,North London,4.8,64.0,From £100,meal,100.0,"40 to 350
Guests",40.0,350.0,https://www.hitched.co.uk/wedding-venues/holmewood-hall_5278.htm
B&H Buildings,"London - East, East London",5.0,3.0,From £150,meal,150.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/b&h-buildings_314083.htm
Bourton Hall,West London,4.7,33.0,From £100,meal,100.0,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/bourton-hall_8800.htm
