venue_no,venue_name,deal_type,deal_title,expires_on
V1,Brinsop Court Manor House and Barn,GIFT,Winter All Inclusive 2025,Expires on 28/02/2026
V1,Brinsop Court Manor House and Barn,DEAL,Complimentary Half Bottle of Wine per Person,Expires on 31/12/2026
V2,The Manor at Bickley,EXCLUSIVE,20% discount for couples at Hitched,Permanent promotion
V2,The Manor at Bickley,DISCOUNT,Weekday Wonders!,Permanent promotion
V2,The Manor at Bickley,GIFT,Summer Specials!,Expires on 30/06/2025
V2,The Manor at Bickley,GIFT,Late Availability,Expires on 02/05/2025
V4,Joe Allen Restaurant,DEAL,Beer Buckets,Expires on 25/10/2025
V4,Joe Allen Restaurant,DEAL,£10 Wedding Cocktails,Expires on 25/10/2025
V4,Joe Allen Restaurant,DEAL,6 for 5 on all wine,Expires on 25/10/2025
V5,"Pembroke Lodge, Richmond Park",GIFT,2025 Late Availability Dates - Bar Credit,Expires on 31/12/2025
V5,"Pembroke Lodge, Richmond Park",DEAL,2025/2026 Winter Wedding Offer,Expires on 31/03/2026
V8,Sandon Manor,DEAL,Book Early Spring Offer,Expires on 30/04/2025
V8,Sandon Manor,GIFT,2025 Special offer,Expires on 01/08/2025
V8,Sandon Manor,DEAL,Enjoy a complimentary glass of fizz during your Show Round!,Expires on 01/12/2025
V8,Sandon Manor,DEAL,Extended Stay Special for Wedding Bookings,Expires on 30/04/2025
V11,Clearwell Castle,DEAL,Spring & Summer 2026 - 10% off any Classical or Luxe package,Expires on 30/04/2025
V11,Clearwell Castle,DEAL,Summer 2025 - Save up to £6000,Expires on 30/04/2025
V12,Inner Temple,DEAL,Complimentary Wedding Night Stay,Expires on 31/05/2025
V13,Dodford Manor - Barn Wedding Venue,DEAL,Christmas Holidays Offer,Permanent promotion
V13,Dodford Manor - Barn Wedding Venue,GIFT,Hand picked dates offer,Permanent promotion
V13,Dodford Manor - Barn Wedding Venue,GIFT,Limited 6 months offer,Permanent promotion
V13,Dodford Manor - Barn Wedding Venue,DEAL,No Corkage Offer,Expires on 31/12/2027
V14,Gosfield Hall,DISCOUNT,Spring & Summer 2026 - 10% off any Classical or Luxe package,Expires on 30/04/2025
V14,Gosfield Hall,DEAL,Summer 2025 - Save up to £6000,Expires on 30/04/2025
V15,Kingston Estate Totnes,GIFT,Friday or Saturday Wedding in August 2025,Expires on 30/04/2025
V15,Kingston Estate Totnes,GIFT,Mid Week 2025 Last Minute Deal,Expires on 27/04/2025
V15,Kingston Estate Totnes,GIFT,Summer 1st - 3rd August 2025 Weekend,Expires on 20/05/2025
V16,Holmewood Hall,DISCOUNT,Spring & Summer 2026 - 10% off any Classical or Luxe package,Expires on 30/04/2025
V16,Holmewood Hall,DEAL,Summer 2025 - Save up to £6000,Expires on 30/04/2025
V17,Bourton Hall,DISCOUNT,Spring & Summer 2026 - 10% off any Classical or Luxe package,Expires on 30/04/2025
V17,Bourton Hall,DEAL,Summer 2025 - Save up to £6000,Expires on 30/04/2025
V19,Leez Priory,DISCOUNT,Spring & Summer 2026 - 10% off any Classical or Luxe package,Expires on 30/04/2025
V19,Leez Priory,DEAL,Summer 2025 - Save up to £6000,Expires on 30/04/2025
V20,London Rowing Club,GIFT,2025 Late Availability - 20% off April to August!,Expires on 30/04/2025
V22,Kindred,DISCOUNT,Weekday Offer,Expires on 31/12/2027
V22,Kindred,DISCOUNT,Sunday Weddings,Expires on 31/12/2026
V22,Kindred,GIFT,Last Minute Summer Wedding,Expires on 31/10/2025
V23,Bredenbury Court Barns,GIFT,Saturday 20th September 2025 Package Offer,Expires on 30/04/2025
V23,Bredenbury Court Barns,GIFT,Limited 6 months offer!,Permanent promotion
V23,Bredenbury Court Barns,DEAL,Christmas Holiday Offer,Permanent promotion
